DETROIT	82	48	21	2	109	.665	3.11	2.30	1.26	20.0	86.7	30.3	26.2	.787	.314	.750	.841	.551	.643	52.5
TAMPA BAY	82	46	22	6	106	.646	2.99	2.34	1.28	16.2	84.8	30.0	25.4	.680	.375	.794	.842	.519	.654	50.0
TORONTO	82	45	24	3	103	.628	2.95	2.49	1.12	20.1	83.4	27.5	26.4	.744	.333	.793	.868	.590	.541	52.1
SAN JOSE	82	43	21	6	104	.634	2.67	2.23	1.19	16.6	85.2	28.0	28.9	.667	.351	.694	.872	.556	.523	48.4
OTTAWA	82	43	23	6	102	.622	3.20	2.30	1.46	21.5	83.5	29.5	24.9	.667	.351	.758	.805	.588	.407	47.0
VANCOUVER	82	43	24	5	101	.616	2.87	2.37	1.26	14.9	85.9	29.0	26.6	.646	.353	.594	.867	.523	.529	51.2
NEW JERSEY	82	43	25	2	100	.610	2.60	2.00	1.26	16.3	85.3	29.7	24.4	.771	.176	.821	.842	.559	.500	49.2
CALGARY	82	42	30	3	94	.573	2.44	2.15	1.12	15.1	84.6	27.4	25.5	.707	.317	.952	.818	.523	.471	50.7
BOSTON	82	41	15	7	104	.634	2.55	2.29	1.31	16.0	83.5	30.5	27.8	.588	.438	.842	.774	.600	.355	52.1
DALLAS	82	41	26	2	97	.591	2.37	2.13	1.14	15.8	85.8	26.8	23.2	.732	.268	.857	.818	.577	.346	51.4
MONTREAL	82	41	30	4	93	.567	2.54	2.34	1.06	17.2	82.4	27.7	28.6	.667	.226	.741	.882	.564	.429	51.6
PHILADELPHIA	82	40	21	6	101	.616	2.79	2.27	1.25	20.7	83.3	29.4	25.5	.636	.316	.793	.917	.440	.533	50.3
COLORADO	82	40	22	7	100	.610	2.88	2.42	1.23	20.3	83.7	29.4	28.4	.596	.343	.677	.800	.511	.500	50.0
ST LOUIS	82	39	30	2	91	.555	2.33	2.42	0.87	17.8	84.5	27.1	25.6	.619	.325	.767	.818	.528	.385	49.9
NY ISLANDERS	82	38	29	4	91	.555	2.89	2.56	1.10	16.7	85.5	28.5	27.4	.692	.256	.700	.839	.524	.405	49.3
NASHVILLE	82	38	29	4	91	.555	2.63	2.65	0.96	16.9	81.7	27.2	28.5	.610	.317	.690	.778	.424	.468	48.8
BUFFALO	82	37	34	4	85	.518	2.68	2.70	0.95	15.8	84.7	28.1	28.5	.609	.250	.720	.774	.564	.341	50.2
EDMONTON	82	36	29	5	89	.543	2.70	2.54	1.22	13.0	81.0	28.4	26.5	.657	.277	.652	.889	.415	.500	50.9
ATLANTA	82	33	37	4	78	.476	2.61	2.96	0.82	14.6	85.1	26.1	29.4	.677	.235	.667	.913	.500	.340	46.7
MINNESOTA	82	30	29	3	83	.506	2.29	2.23	1.03	13.6	84.4	24.2	29.1	.478	.222	.516	.625	.458	.340	46.7
ANAHEIM	82	29	35	8	76	.463	2.24	2.60	0.81	18.0	84.7	29.7	29.8	.526	.205	.556	.792	.361	.341	55.3
LOS ANGELES	82	28	29	9	81	.494	2.50	2.65	1.03	14.0	80.6	28.6	27.0	.545	.105	.481	.727	.395	.257	51.1
CAROLINA	82	28	34	6	76	.463	2.10	2.55	0.94	10.6	81.6	29.2	26.2	.567	.212	.632	.821	.313	.308	54.9
FLORIDA	82	28	35	4	75	.457	2.29	2.70	0.81	16.7	86.3	27.7	34.5	.528	.196	.500	.607	.300	.350	46.1
NY RANGERS	82	27	40	8	69	.421	2.51	3.05	0.95	14.2	79.3	29.5	29.2	.500	.167	.708	.786	.317	.342	51.4
COLUMBUS	82	25	45	4	62	.378	2.16	2.90	0.65	14.4	85.1	27.8	32.0	.405	.222	.692	.760	.480	.245	47.8
WASHINGTON	82	23	46	3	59	.360	2.27	3.08	0.68	19.1	81.3	23.7	31.5	.472	.130	.737	.870	.250	.270	49.0
PITTSBURGH	82	23	47	4	58	.354	2.32	3.70	0.60	18.0	77.2	24.7	33.2	.581	.098	.500	.636	.421	.242	47.2
PHOENIX	82	22	36	6	68	.415	2.29	2.99	0.75	14.2	82.1	26.5	30.6	.444	.130	.450	.737	.261	.291	48.9
CHICAGO	82	20	43	8	59	.360	2.29	3.16	0.70	15.7	83.4	29.3	30.7	.333	.184	.450	.560	.171	.286	49.4
