DETROIT	82	51	17	4	116	.707	3.06	2.28	1.23	20.3	86.0	31.0	26.3	.739	.472	.767	.902	.700	.517	51.4
COLORADO	82	45	28	1	99	.604	2.58	2.06	1.19	18.0	86.9	27.5	26.5	.711	.409	.760	.971	.476	.658	51.4
SAN JOSE	82	44	27	3	99	.604	3.02	2.43	1.33	15.9	85.8	27.2	28.5	.739	.278	.828	.846	.606	.500	49.0
BOSTON	82	43	24	9	101	.616	2.88	2.45	1.19	13.7	87.1	31.7	25.1	.708	.265	.806	.769	.550	.526	48.0
TORONTO	82	43	25	4	100	.610	3.04	2.52	1.28	15.4	84.4	28.5	24.9	.682	.342	.727	.846	.544	.478	51.8
ST LOUIS	82	43	27	4	98	.598	2.77	2.29	1.27	17.4	85.2	29.0	22.5	.737	.341	.731	.833	.517	.471	49.9
PHILADELPHIA	82	42	27	3	97	.591	2.85	2.34	1.35	13.0	86.3	29.8	26.1	.617	.371	.700	.744	.509	.538	49.9
NY ISLANDERS	82	42	28	4	96	.585	2.92	2.68	1.01	16.2	85.7	28.3	27.9	.633	.333	.719	.857	.459	.564	51.7
VANCOUVER	82	42	30	3	94	.573	3.10	2.57	1.17	18.5	84.9	28.4	25.4	.681	.286	.750	.875	.529	.500	50.7
CHICAGO	82	41	27	1	96	.585	2.63	2.52	1.09	17.8	81.4	27.7	25.3	.675	.333	.808	.889	.511	.467	48.0
NEW JERSEY	82	41	28	4	95	.579	2.50	2.28	1.20	16.8	83.7	29.8	23.2	.714	.275	.750	.774	.452	.632	49.5
PHOENIX	82	40	27	6	95	.579	2.78	2.56	1.12	15.5	83.1	26.6	28.6	.667	.270	.700	.824	.500	.455	48.2
LOS ANGELES	82	40	27	4	95	.579	2.61	2.32	1.00	20.6	86.6	25.7	25.0	.643	.325	.741	.897	.476	.500	51.2
OTTAWA	82	39	27	7	94	.573	2.96	2.54	1.14	16.6	84.3	30.1	25.9	.622	.297	.815	.909	.444	.500	50.1
EDMONTON	82	38	28	4	92	.561	2.50	2.22	1.18	15.3	85.6	27.5	25.9	.632	.318	.645	.788	.478	.438	50.4
DALLAS	82	36	28	5	90	.549	2.62	2.60	1.05	17.1	81.5	28.5	26.0	.556	.297	.724	.880	.340	.581	52.8
MONTREAL	82	36	31	3	87	.530	2.52	2.55	0.93	14.9	86.2	25.5	31.7	.622	.216	.704	.765	.667	.365	52.8
WASHINGTON	82	36	33	2	85	.518	2.78	2.93	0.94	19.4	82.1	28.0	28.7	.625	.320	.737	.778	.459	.409	53.3
NY RANGERS	82	36	38	4	80	.488	2.77	3.15	0.99	14.7	79.9	29.2	31.9	.781	.220	.762	.923	.457	.426	50.7
CAROLINA	82	35	26	5	91	.555	2.65	2.65	0.96	16.1	83.7	28.6	27.0	.610	.244	.586	.846	.459	.410	56.1
BUFFALO	82	35	35	1	82	.500	2.60	2.44	0.96	13.3	86.5	28.0	25.9	.636	.184	.657	.829	.372	.500	47.4
CALGARY	82	32	35	3	79	.482	2.45	2.68	0.92	15.1	81.4	26.9	27.3	.575	.214	.667	.778	.314	.429	52.5
ANAHEIM	82	29	42	3	69	.421	2.13	2.42	0.92	11.5	86.0	26.1	27.5	.538	.186	.609	.880	.382	.348	51.0
PITTSBURGH	82	28	41	5	69	.421	2.42	3.04	0.77	14.0	83.8	27.0	29.2	.516	.235	.579	.800	.364	.289	47.1
NASHVILLE	82	28	41	0	69	.421	2.39	2.80	0.83	14.2	85.8	24.6	28.2	.513	.186	.577	.656	.333	.321	47.0
TAMPA BAY	82	27	40	4	69	.421	2.17	2.67	0.77	14.7	85.3	26.6	30.8	.531	.200	.550	.762	.321	.360	47.0
MINNESOTA	82	26	35	9	73	.445	2.38	2.90	0.75	14.7	82.8	23.8	28.0	.500	.159	.545	.714	.321	.327	48.5
FLORIDA	82	22	44	6	60	.366	2.20	3.05	0.76	14.6	80.6	26.9	32.5	.432	.079	.500	.739	.217	.286	46.1
COLUMBUS	82	22	47	5	57	.348	2.00	3.11	0.58	14.0	83.0	25.0	30.1	.459	.111	.611	.773	.261	.263	50.0
ATLANTA	82	19	47	5	54	.329	2.28	3.51	0.74	12.0	81.8	24.2	35.5	.353	.146	.450	.600	.100	.261	46.3
