SAN JOSE	82	53	18	11	117	.713	3.06	2.43	1.09	24.2	83.3	33.2	27.2	.783	.472	.828	.868	.642	.720	53.8
BOSTON	82	53	19	10	116	.707	3.29	2.32	1.42	23.6	82.4	30.3	30.8	.723	.543	.794	.884	.538	.744	51.0
DETROIT	82	51	21	10	112	.683	3.52	2.93	1.20	25.5	78.3	36.2	27.7	.804	.389	.788	.810	.643	.600	55.1
NEW JERSEY	82	51	27	4	106	.646	2.90	2.52	1.25	18.9	79.9	32.9	29.5	.841	.368	.794	.951	.694	.533	51.3
WASHINGTON	82	50	24	8	108	.659	3.27	2.93	1.10	25.2	80.6	33.5	29.5	.756	.432	.833	.868	.627	.571	51.7
CHICAGO	82	46	24	12	104	.634	3.17	2.55	1.18	19.3	80.6	32.7	28.6	.767	.333	.781	.854	.623	.407	48.1
CALGARY	82	46	30	6	98	.598	3.06	3.00	1.04	17.0	83.4	32.2	29.8	.703	.444	.739	.875	.600	.452	51.3
VANCOUVER	82	45	27	10	100	.610	2.96	2.60	1.21	18.8	81.4	28.5	29.2	.702	.343	.735	.909	.568	.513	51.9
PITTSBURGH	82	45	28	9	99	.604	3.15	2.84	1.18	17.2	82.7	29.0	30.3	.652	.417	.655	.758	.657	.463	49.1
CAROLINA	82	45	30	7	97	.591	2.88	2.70	1.00	18.7	80.4	32.6	29.5	.641	.465	.655	.861	.519	.607	51.3
PHILADELPHIA	82	44	27	11	99	.604	3.17	2.83	1.01	22.5	83.0	29.8	32.5	.674	.385	.821	.844	.469	.619	48.3
NY RANGERS	82	43	30	9	95	.579	2.44	2.58	0.90	13.9	87.8	32.4	29.7	.667	.375	.609	.844	.468	.594	50.8
ANAHEIM	82	42	33	7	91	.555	2.90	2.87	1.09	23.6	79.7	30.3	30.5	.791	.205	.760	.963	.425	.625	49.8
FLORIDA	82	41	30	11	93	.567	2.82	2.72	1.07	16.6	82.6	29.4	34.7	.615	.395	.654	.829	.538	.481	47.9
MONTREAL	82	41	30	11	93	.567	2.95	2.93	0.96	19.2	82.4	30.0	31.7	.711	.318	.857	.853	.500	.478	50.9
ST LOUIS	82	41	31	10	92	.561	2.77	2.77	0.94	20.5	83.8	27.7	28.5	.686	.362	.654	.848	.579	.410	49.1
COLUMBUS	82	41	31	10	92	.561	2.68	2.72	1.16	12.7	82.1	28.9	27.8	.683	.317	.714	.875	.442	.568	51.2
BUFFALO	82	41	32	9	91	.555	2.95	2.79	1.05	21.0	81.8	30.5	31.4	.659	.316	.722	.794	.417	.545	47.4
MINNESOTA	82	40	33	9	89	.543	2.61	2.40	0.91	20.1	87.6	27.5	30.7	.692	.302	.778	.933	.576	.409	48.5
NASHVILLE	82	40	34	8	88	.537	2.52	2.78	0.94	15.7	82.5	29.0	29.4	.707	.268	.789	.917	.641	.378	52.2
EDMONTON	82	38	35	9	85	.518	2.78	2.98	1.01	17.0	77.5	28.1	32.5	.718	.233	.808	.893	.400	.482	47.9
DALLAS	82	36	35	11	83	.506	2.73	3.06	0.94	15.4	78.6	28.9	28.1	.605	.295	.826	.867	.439	.436	47.8
OTTAWA	82	36	35	11	83	.506	2.60	2.82	0.88	19.5	81.5	29.3	28.5	.587	.250	.800	.815	.581	.250	51.8
PHOENIX	82	36	39	7	79	.482	2.50	3.04	0.84	14.5	76.8	28.1	31.6	.583	.326	.762	.931	.591	.370	44.8
ATLANTA	82	35	41	6	76	.463	3.05	3.40	0.95	19.3	76.0	28.1	32.7	.667	.209	.769	.917	.500	.404	51.2
TORONTO	82	34	35	13	81	.494	2.98	3.49	0.89	18.8	74.7	31.7	30.3	.550	.286	.522	.692	.391	.438	50.1
LOS ANGELES	82	34	37	11	79	.482	2.46	2.76	0.82	19.2	82.9	29.1	28.1	.667	.186	.818	.800	.455	.333	52.0
COLORADO	82	32	45	5	69	.421	2.32	3.08	0.75	15.7	79.9	28.8	29.0	.581	.275	.652	.909	.394	.404	47.8
NY ISLANDERS	82	26	47	9	61	.372	2.42	3.34	0.68	16.9	79.8	28.9	33.5	.541	.133	.429	.700	.375	.296	45.7
TAMPA BAY	82	24	40	18	66	.402	2.52	3.28	0.89	17.8	78.0	28.5	32.9	.441	.188	.440	.680	.357	.260	50.2
